                                                                                                              SHOPEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eracee,,,,,,,,ye huang su,,,,,,,gentle care,,,,,,,pearl eye,,,,,,,dierdre,,,,,,,maxdales,,,,,,,wanjiankang,,,,,,,vitcore,,,,,,,,
TANGGAL,AKUN IKLAN,JUMLAH AI,BIAYA,PEMBELIAN, CPP,,TANGGAL,AKUN IKLAN,JUMLAH AI,BIAYA,PEMBELIAN, CPP,,TANGGAL,AKUN IKLAN,JUMLAH AI,BIAYA,PEMBELIAN, CPP,,TANGGAL,AKUN IKLAN,JUMLAH AI,BIAYA,PEMBELIAN, CPP,,TANGGAL,AKUN IKLAN,JUMLAH AI,BIAYA,PEMBELIAN, CPP,,TANGGAL,AKUN IKLAN,JUMLAH AI,BIAYA,PEMBELIAN, CPP,,TANGGAL,AKUN IKLAN,JUMLAH AI,BIAYA,PEMBELIAN, CPP,,TANGGAL,AKUN IKLAN,JUMLAH AI,BIAYA,PEMBELIAN, CPP,,TANGGAL,BIAYA,PEMBELIAN, CPP
11,TOKOHERBALCHINA,1, Rp 150.285 ,,#DIV/0!,,11,TOKOHERBALCHINA,1, Rp 61.158 ,1, Rp 61.158 ,,11,TOKOHERBALCHINA,1, Rp 151.938 ,3, Rp 50.646 ,,11,TOKOHERBALCHINA,1, Rp 12.230 ,,#DIV/0!,,11,,,,,#DIV/0!,,11,TOKOHERBALCHINA,1, Rp 1.331.736 ,8, Rp 166.467 ,,11,TOKOHERBALCHINA,1, Rp 2.024.311 ,24, Rp 84.346 ,,11,TOKOHERBALCHINA,1, Rp 25.400 ,,#DIV/0!,,11, Rp 3.757.058 ,36, Rp 104.363 
12,TOKOHERBALCHINA,1, Rp 128.738 ,,#DIV/0!,,12,TOKOHERBALCHINA,1, Rp 83.854 ,1, Rp 83.854 ,,12,TOKOHERBALCHINA,1, Rp 119.327 ,1, Rp 119.327 ,,12,TOKOHERBALCHINA,1, Rp 8.524 ,,#DIV/0!,,12,TOKOHERBALCHINA,1, Rp 6.117 ,,#DIV/0!,,12,TOKOHERBALCHINA,1, Rp 1.372.949 ,14, Rp 98.068 ,,12,TOKOHERBALCHINA,1, Rp 2.579.007 ,30, Rp 85.967 ,,12,TOKOHERBALCHINA,1, Rp 66.853 ,,#DIV/0!,,12, Rp 4.365.369 ,46, Rp 94.899 
13,TOKOHERBALCHINA,1, Rp 51.348 ,1, Rp 51.348 ,,13,TOKOHERBALCHINA,1, Rp 252.062 ,8, Rp 31.508 ,,13,TOKOHERBALCHINA,1, Rp 96.283 ,1, Rp 96.283 ,,13,TOKOHERBALCHINA,1, Rp 3.131 ,,#DIV/0!,,13,TOKOHERBALCHINA,1, Rp 18.277 ,,#DIV/0!,,13,TOKOHERBALCHINA,1, Rp 619.051 ,11, Rp 56.277 ,,13,TOKOHERBALCHINA,1, Rp 1.777.636 ,28, Rp 63.487 ,,13,TOKOHERBALCHINA,1, Rp 40.884 ,,#DIV/0!,,13, Rp 2.858.672 ,49, Rp 58.340 
14,TOKOHERBALCHINA,1, Rp 5.463 ,1, Rp 5.463 ,,14,TOKOHERBALCHINA,1, Rp 97.351 ,3, Rp 32.450 ,,14,TOKOHERBALCHINA,1, Rp 115.948 ,3, Rp 38.649 ,,14,TOKOHERBALCHINA,1, Rp 4 ,,#DIV/0!,,14,TOKOHERBALCHINA,1, Rp 1.168 ,,#DIV/0!,,14,TOKOHERBALCHINA,1, Rp 346.172 ,4, Rp 86.543 ,,14,TOKOHERBALCHINA,1, Rp 1.648.208 ,12, Rp 137.351 ,,14,TOKOHERBALCHINA,1, Rp 58.988 ,,#DIV/0!,,14, Rp 2.273.302 ,23, Rp 98.839 
15,TOKOHERBALCHINA,1, Rp 876 ,,#DIV/0!,,15,TOKOHERBALCHINA,1, Rp 363.549 ,,#DIV/0!,,15,TOKOHERBALCHINA,1, Rp 350.281 ,,#DIV/0!,,15,TOKOHERBALCHINA,1,,,#DIV/0!,,15,TOKOHERBALCHINA,1, Rp 816 ,,#DIV/0!,,15,TOKOHERBALCHINA,1, Rp 509.376 ,,#DIV/0!,,15,TOKOHERBALCHINA,1, Rp 1.864.309 ,,#DIV/0!,,15,TOKOHERBALCHINA,1, Rp 33.081 ,,#DIV/0!,,15, Rp 3.122.288 ,0,#DIV/0!
16,TOKOHERBALCHINA,1, Rp 10.687 ,1, Rp 10.687 ,,16,TOKOHERBALCHINA,1, Rp 143.442 ,2, Rp 71.721 ,,16,TOKOHERBALCHINA,1, Rp 254.050 ,6, Rp 42.342 ,,16,TOKOHERBALCHINA,1,,,#DIV/0!,,16,TOKOHERBALCHINA,1, Rp 5.111 ,1, Rp 5.111 ,,16,TOKOHERBALCHINA,1, Rp 972.472 ,23, Rp 42.281 ,,16,TOKOHERBALCHINA,1, Rp 1.572.322 ,47, Rp 33.454 ,,16,TOKOHERBALCHINA,1, Rp 33.530 ,2, Rp 16.765 ,,16, Rp 2.991.614 ,82, Rp 36.483 
17,TOKOHERBALCHINA,1, Rp 68.034 ,,#DIV/0!,,17,TOKOHERBALCHINA,1, Rp 10.234 ,,#DIV/0!,,17,TOKOHERBALCHINA,1, Rp 140.599 ,,#DIV/0!,,17,TOKOHERBALCHINA,1,,,#DIV/0!,,17,TOKOHERBALCHINA,1, Rp 8.702 ,,#DIV/0!,,17,TOKOHERBALCHINA,1, Rp 552.693 ,,#DIV/0!,,17,TOKOHERBALCHINA,1, Rp 1.545.764 ,,#DIV/0!,,17,TOKOHERBALCHINA,1, Rp 52.453 ,,#DIV/0!,,17, Rp 2.378.479 ,0,#DIV/0!
18,TOKOHERBALCHINA,1, Rp 43.292 ,4, Rp 10.823 ,,18,TOKOHERBALCHINA,1, Rp 62.614 ,1, Rp 62.614 ,,18,TOKOHERBALCHINA,1, Rp 467.252 ,10, Rp 46.725 ,,18,TOKOHERBALCHINA,1,,,#DIV/0!,,18,TOKOHERBALCHINA,1, Rp 5.281 ,2, Rp 2.641 ,,18,TOKOHERBALCHINA,1, Rp 376.517 ,15, Rp 25.101 ,,18,TOKOHERBALCHINA,1, Rp 1.182.061 ,48, Rp 24.626 ,,18,TOKOHERBALCHINA,1, Rp 54.709 ,,#DIV/0!,,18, Rp 2.191.726 ,80, Rp 27.397 
19,TOKOHERBALCHINA,1, Rp 73.990 ,1, Rp 73.990 ,,19,TOKOHERBALCHINA,1, Rp 3.361 ,,#DIV/0!,,19,TOKOHERBALCHINA,1, Rp 114.817 ,3, Rp 38.272 ,,19,TOKOHERBALCHINA,1,,,#DIV/0!,,19,TOKOHERBALCHINA,1, Rp 14.349 ,2, Rp 7.175 ,,19,TOKOHERBALCHINA,1, Rp 642.656 ,9, Rp 71.406 ,,19,TOKOHERBALCHINA,1, Rp 1.464.763 ,23, Rp 63.685 ,,19,TOKOHERBALCHINA,1, Rp 56.732 ,,#DIV/0!,,19, Rp 2.370.668 ,38, Rp 62.386 
20,TOKOHERBALCHINA,1, Rp 73.803 ,,#DIV/0!,,20,TOKOHERBALCHINA,1, Rp 45.534 ,,#DIV/0!,,20,TOKOHERBALCHINA,1, Rp 121.691 ,3, Rp 40.564 ,,20,TOKOHERBALCHINA,1,,,#DIV/0!,,20,TOKOHERBALCHINA,1, Rp 53.161 ,5, Rp 10.632 ,,20,TOKOHERBALCHINA,1, Rp 545.338 ,8, Rp 68.167 ,,20,TOKOHERBALCHINA,1, Rp 1.648.606 ,25, Rp 65.944 ,,20,TOKOHERBALCHINA,1, Rp 245.913 ,,#DIV/0!,,20, Rp 2.734.046 ,41, Rp 66.684 
